name,founded,call,language,denomination,ethnic,address
Asamblea de Dios,1998,(781) 891-5647,Spanish,Assemblies of God,Hispanic,"28 Paris St, East Boston, MA 02128-3045"
Assembleia de Deus,1986,(617) 561-0602,Portuguese,Assemblies of God,Brazilian,"50 Bennington St, East Boston, MA 02128-1740"
Bethel Missionary Church,1997,(617) 567-4237,"Portuguese, English","Missionary Church, Inc.",Brazilian,"35 Putnam St, East Boston, MA 02128-2503"
Boston Hope,N/A,(617) 846-8500,English,International Church of the Four Square Gospel,N/A,"Route 1A, East Boston, MA 02128"
Central Assembly of God,1954,(617) 569-7339,English,Assemblies of God,"African, Chinese, Indian, Haitian, Anglo","50 Bennington St, East Boston, MA 02128-1740"
Church at the Well,2012,(857) 256-2165,English,N/A,N/A,"260 Sumner St, East Boston, MA 02128"
East Boston Spanish Seventh Day Adventist Church,N/A,(617) 515-5092,Spanish,Seventh-day Adventist Church,"Hispanic, Latino","28 Paris St, East Boston, MA 02128-3045"
Grace Church Federated,1884,(617) 569-5358,English,United Church of Christ & Episcopal Church,"Anglo, African Am","758 Saratoga St, East Boston, MA 02128-1513"
HArbor Baptist Church,1988,(617) 561-8477,English,Independent,"Anglo, African Am, Hispanic","332 Bremen St, East Boston, MA 02128-1452"
"Iglesia Adventista del 7mo Dia, Mision 3 Angeles",N/A,(617) 606-2568,Spanish,Seventh-day Adventist Church,"Hispanic, Latino","166-168 Saratoga St, East Boston, MA 02128"
Iglesia Apostolica de la Fe en Cristo Jesus,N/A,(617) 561-9752,Spanish,N/A,"Hispanic, Latino","264 Meridian St, East Boston, MA 02128"
Iglesia Biblica Faro de Luz,2001,(617) 567-6022,Spanish,Independent,"Hispanic, Latino","332 Bremen St, East Boston, MA 02128"
Iglesia Comunidad de Dios,1988,(617) 567-3347,Spanish,N/A,"Hispanic, Latino","68 Central Square, East Boston, MA 02128"
Iglesia Cristiana Nueva Vida,1990,(617) 567-2701,Spanish,American Baptist Churches,"Hispanic, Caribbean/West Indian","70 White St, East Boston, MA 02128-1350"
Iglesia de Dios Fe Salvador,N/A,(617) 561-0404,Spanish,"Church of God (Cleveland, Tenn.)","Hispanic, Caribbean/West Indian","161 Border Street, East Boston, MA 02128"
Iglesia de Dios Vivo la Luz del Mundo,N/A,(617) 567-6022,Spanish,N/A,"Hispanic, Latino","130 London St, East Boston, MA 02128"
Iglesia de Jesus Sendas de Fe,N/A,(617) 561-6575,Spanish,Southern Baptist Convention,"Hispanic, Latino","285 Border Street, East Boston, MA 02128"
Iglesia Ebenezer A.I.C.,N/A,(617) 561-4811,Spanish,Asambleas de Iglesias Cristianas,"Hispanic, Caribbean/West Indian","166-168 Saratoga St, East Boston, MA 02128"
Iglesia Evangelica Apostoles y Profetas,1988,(617) 567-3347,Spanish,Iglesia Evangelica Apostoles y Profetas,Hispanic,"5 Trenton St, East Boston, MA 02128-2533"
"Iglesia Evangelica Apostoles y Profetas ""Efesios 2:20""",1990,(617) 561-9395,Spanish,Iglesia Evangelica Apostoles y Profetas,Hispanic,"48 Maverick St Fl 2, East Boston, MA 02128-2324"
Iglesia Evangelica Resurreccion de Cristo,N/A,(781) 884-7024,Spanish,N/A,"Hispanic, Latino","35 Putnam St, East Boston, MA 02128"
Iglesia Evangelica Ministerios Getsemani,N/A,(781) 286-0146,Spanish,Other,Hispanic,"35 Putnam St, East Boston, MA 02128-2503"
Iglesia Palabras de Vida,N/A,(617) 832-5591,Spanish,Southern Baptist Convention,"Hispanic, Latino","70 White St, East Boston, MA 02128"
Iglesia Profetica Internacional Ciudad de Sion,2011,(617) 401-6357,Spanish,N/A,"Hispanic, Latino","28 Paris St, East Boston, MA 02128"
Igreja Assembleia de Deus Missao,N/A,N/A,Portuguese,Assemblies of God,Brazil,"166-168 Saratoga St, East Boston, MA 02128"
Igreja Avivamento Mundial,N/A,(617) 949-6808,Portuguese,N/A,Brazil,"12 Bennington St, East Boston, MA 02128"
"Igreja Presbiteriana Cristo Rei, East Boston",2003,(781) 866-1794,Portuguese,N/A,Brazil,"205 William F. McClellan Hwy, East Boston, MA 02128"
Iglesia Nuevo Amanecer,N/A,(617) 453-8807,Spanish,Evangelical Lutheran Church in America,N/A,"28 Paris St, East Boston, MA 02128"
Most Holy Redeemer Catholic Church,1844,(617) 567-3227,"English, Spanish, Portuguese",Roman Catholic Church,"Hispanic, Brazilian, Vietnamese, Anglo","72 Maverick St, East Boston, MA 02128-2309"
New Alliance Assembly of God Church,2004,(617) 633-7569,Portuguese,Assemblies of God,Brazil,"307 Border St, East Boston, MA 02128"
Our Lady of Mount Carmel Catholic Church,1905,(617) 567-3215,"Italian, English",Roman Catholic Church,Italian,"128 Gove St, East Boston, MA 02128-2108"
Our Lady of the Assumption Church,1869,(617) 567-1223,English,Roman Catholic Church,"Hispanic, Haitian, Brazilian","404 Summer St, East Boston, MA 02128-2218"
Our Saviour's Lutheran Church,1911,(617) 567-1175,English,Evangelical Lutheran Church in America,"Multi-ethnic, African Am, Asian, Hispanic, Anglo","28 Paris St, East Boston, MA 02128-3045"
Sacred Heart Catholic Church,1873,(617) 567-5776,English,Roman Catholic Church,"Multi-ethnic, Vietnamese, Italian","45 Brooks St, East Boston, MA 02128-1756"
St. Joseph - St. Lazarus Catholic Church,1892,(617) 569-0406,English,Roman Catholic Church,N/A,"59 Ashley St, East Boston, MA 02128-2622"
St. Mary Star of the Sea Catholic Church,1864,(617) 567-0056,"English, Portuguese",Roman Catholic Church,"Anglo, Brazilian","63 Moore St, East Boston, MA 02128-1547"
